date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:59	182947/182947	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:56%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/ad2aeb5.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/ad2aeb5.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:01	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:59%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/bec6dad.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/bec6dad.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:01	236701/236701	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:03:07%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/f6e5eec.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/f6e5eec.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:03	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:39:01%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/8b44e90.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/8b44e90.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:03	132616/132616	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:59%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/bec6dad.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/bec6dad.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:05	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:39:03%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/697c6ff.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/697c6ff.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:05	174791/174791	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:50%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/8b44e90.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/8b44e90.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:07	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:39:05%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/003f5fe.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/003f5fe.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:09	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:39:07%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/78abebd.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/78abebd.png	(from https://www.nintendoswitch.com.cn/)
13:39:12	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:39:09%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/01bf7db.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/01bf7db.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:12	130193/130193	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:02:49%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/78abebd.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/78abebd.png	(from https://www.nintendoswitch.com.cn/)
13:39:12	547725/547725	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:34%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/003f5fe.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/003f5fe.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:12	634270/634270	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:47%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/697c6ff.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/697c6ff.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:19	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:39:19%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/bb1dc26.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/bb1dc26.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:21	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:39:19%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/d251fd1.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/d251fd1.png	(from https://www.nintendoswitch.com.cn/)
13:39:24	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:39:22%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/b65dd5b.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/b65dd5b.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:24	402099/402099	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:58%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/bb1dc26.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/bb1dc26.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:24	678444/678444	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:34%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/01bf7db.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/01bf7db.jpg	(from https://www.nintendoswitch.com.cn/)
13:39:27	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:39:25%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/9678230.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/9678230.jpg	(from https://www.nintendoswitch.com.cn/)
